Linear_size,Temperature,Energy_per_site,Energy_variance,Magnetization,Magnetization_variance,Abs_Magnetization
10,1.0,-1.9983059866666661,0.00021151990629315453,-0.99932,1.3670933333333335e-05,0.99932
10,1.1052631578947367,-1.9941982533333324,0.0005695261521491532,-0.9982533333333333,4.014915555555555e-05,0.9982533333333333
10,1.2105263157894737,-1.9896103399999998,0.0009791381270843967,-0.9970066666666666,7.303995555555556e-05,0.9970066666666666
10,1.3157894736842106,-1.9813814933333327,0.001697845555369951,-0.9948266666666666,0.00013243662222222222,0.9948266666666666
10,1.4210526315789473,-1.9658304066666665,0.0031778600707679503,-0.9904066666666667,0.00027396795555555554,0.9904066666666667
10,1.526315789473684,-1.94482854,0.004933881379201738,0.9847933333333333,0.0004931572888888889,0.9847933333333333
10,1.631578947368421,-1.9161306733333336,0.007842045240879957,0.9759933333333334,0.0009000799555555554,0.9759933333333334
10,1.7368421052631582,-1.8879533666666666,0.010899077085732225,-0.9667,0.0012848433333333335,0.9667
10,1.842105263157895,-1.8391496266666667,0.017124481546793958,-0.9496266666666666,0.0026241272888888885,0.9496266666666666
10,1.9473684210526312,-1.7786210266666667,0.024966266326679285,0.24564,0.7998217904,0.24564
10,2.052631578947368,-1.71094642,0.034064793097583604,-0.62642,0.41867305026666657,0.62642
10,2.1578947368421053,-1.598424393333333,0.05194360125229862,-0.2777266666666667,0.6397232319555556,0.2777266666666667
10,2.263157894736842,-1.4910076199999998,0.061259875858602264,-0.48762,0.39191673559999995,0.48762
10,2.3684210526315788,-1.3567062200000002,0.07378125076037825,-0.052886666666666665,0.5038834004888889,0.052886666666666665
10,2.473684210526316,-1.2114364466666667,0.07188077857577382,-0.04978,0.37587675160000006,0.04978
10,2.5789473684210527,-1.1043945866666667,0.06646386540429582,-0.03458666666666667,0.2886000291555555,0.03458666666666667
10,2.6842105263157894,-1.00126418,0.05593908332986093,-0.010846666666666666,0.21096328315555557,0.010846666666666666
10,2.789473684210526,-0.9365823066666665,0.04819552427281262,-0.022306666666666666,0.1697362792888889,0.022306666666666666
10,2.894736842105263,-0.8802118666666668,0.04382890007918223,-0.011866666666666668,0.13629251555555558,0.011866666666666668
10,3.0,-0.82615702,0.040093184202719595,0.00298,0.1114891196,0.00298
