Temperature,Energy_per_site,Energy_variance,Magnetization,Magnetization_variance,Abs_Magnetization
1.0,-1.9974133333333333,0.00021517582222222215,-0.99934,1.43644e-05,0.99934
1.1052631578947367,-1.9932533333333333,0.0005646158222222222,-0.9982666666666666,3.859555555555556e-05,0.9982666666666666
1.2105263157894737,-1.9872533333333333,0.0011409891555555554,-0.9966733333333333,8.239995555555558e-05,0.9966733333333333
1.3157894736842106,-1.9775733333333332,0.0019215779555555557,0.9940266666666666,0.00015711928888888888,0.9940266666666666
1.4210526315789473,-1.9654666666666665,0.003010115555555556,0.9906999999999999,0.0002464433333333334,0.9906999999999999
1.526315789473684,-1.9445066666666668,0.0051892899555555545,0.9845733333333334,0.00048255128888888895,0.9845733333333334
1.631578947368421,-1.9186266666666665,0.007564513955555556,-0.9768466666666668,0.0007659231555555556,0.9768466666666668
1.7368421052631582,-1.88752,0.011249049599999998,0.9665,0.0013858833333333332,0.9665
1.842105263157895,-1.8390933333333335,0.016395977955555554,0.9490133333333333,0.0030264931555555557,0.9490133333333333
1.9473684210526312,-1.7862666666666667,0.02337832888888889,0.92938,0.004727082266666667,0.92938
2.052631578947368,-1.7075733333333332,0.034424777955555555,-0.22788,0.7559099056,0.22788
2.1578947368421053,-1.6031733333333333,0.04969979662222222,0.6562266666666666,0.2937353619555555,0.6562266666666666
2.263157894736842,-1.48172,0.0632210416,0.0441,0.6161006566666668,0.0441
2.3684210526315788,-1.3275733333333333,0.07344237795555555,-0.06415333333333334,0.47229381648888885,0.06415333333333334
2.473684210526316,-1.2288666666666668,0.07351391555555556,0.00364,0.39240755039999997,0.00364
2.5789473684210527,-1.11092,0.06573782026666666,-0.036206666666666665,0.2914734772888889,0.036206666666666665
2.6842105263157894,-1.0093733333333332,0.055631073955555554,0.0077733333333333335,0.22534677528888888,0.0077733333333333335
2.789473684210526,-0.9491066666666668,0.05145626862222222,-0.007980000000000001,0.17484711960000002,0.007980000000000001
2.894736842105263,-0.8722799999999999,0.04321986826666666,-0.009953333333333333,0.13674346448888888,0.009953333333333333
3.0,-0.8260266666666667,0.04074127928888889,0.013033333333333333,0.11450919888888889,0.013033333333333333
